赛道,公司,类型,股票代码或轮次,总部,与赛道的关联(一句话,具体到什么产品/环节),来源URL,来源日期
低空装备,亿航智能,美股,Nasdaq: EH,广州,EH216-S无人驾驶载人eVTOL整机(全球首个集齐TC/PC/AC/OC的载人eVTOL)、覆盖低空载人交通与低空文旅消费,https://www.zqdb.com.cn/xinwen/2026/show-1260875.html,2026-04
低空装备,小鹏汇天,独角兽,B轮(2.5亿美元、2025年;2026年1月传已保密递表港交所),广州,"陆地航母"分体式飞行汽车整机、广州黄埔量产工厂2025年11月试产下线并规划万辆级年产能,https://finance.sina.com.cn/jjxw/2026-01-26/doc-inhircnv9338558.shtml,2026-01
低空装备,峰飞航空,独角兽,战略融资(数亿美元、2024年、宁德时代战投),上海,V2000CG凯瑞鸥为全球首个获颁适航三证(TC/PC/AC)的吨级以上eVTOL、货运已交付且载人版盛世龙适航推进中,http://www.bkeconomy.com/detail-1753161279129689.html,2025-07
低空装备,沃飞长空,独角兽,D轮(近10亿元、2026年2月),成都,吉利科技集团旗下AE200倾转旋翼载人eVTOL整机、2026年4月已启动科创板IPO辅导,https://www.cls.cn/detail/2334618,2026-04
低空装备,大疆,未上市(头部独角兽),—(创始人内部信称暂无上市计划),深圳,全球消费级/工业级无人机整机龙头(全球无人机市场份额约70%、商用市场超90%)、飞控电机电调等核心部件全栈自研,https://m.thepaper.cn/newsDetail_forward_31988330,2025-11
低空装备,中无人机,A股,688297,成都,翼龙系列大型固定翼长航时无人机系统整机(覆盖10公斤级至6吨级全谱系)、2025年营收30.16亿元同比增长340%,https://cfi.cn/newspage.aspx?id=20260317001205&client=phone,2026-03
低空装备,纵横股份,A股,688070,成都,垂直起降固定翼工业无人机整机龙头、2025年度全球无人机上市公司市值Top4中唯一中国企业,https://sichuan.scol.com.cn/tfrm/202601/83199258.html,2026-01
低空装备,航天彩虹,A股,002389,浙江台州,彩虹系列大中型察打一体无人机整机及配套射手系列空地导弹、无人机及相关产品占收入约63%,https://data.eastmoney.com/notices/detail/002389/AN202603261820774178.html,2026-03
低空装备,万丰奥威,A股,002085,浙江新昌,旗下万丰钻石飞机为全球固定翼通航整机领跑者、整合Volocopter资产推进电动飞机与eVTOL研发(通航整机+eVTOL双轮),https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=002085&id=12263856,2026-04
低空装备,宗申动力,A股,001696,重庆,控股子公司宗申航发为稀缺民营航空发动机企业、为旋翼/固定翼通航飞机及无人机配套航空活塞发动机(航空动力环节),https://static.cninfo.com.cn/finalpage/2026-04-23/1225148036.PDF,2026-04
低空装备,中信海直,A股,000099,深圳,国内规模最大的通用航空运营企业、直升机海上石油服务/应急救援/低空游览及中大型无人机运营(低空运营服务环节),https://m.10jqka.com.cn/20260326/c675566974.shtml,2026-03
低空装备,莱斯信息,A股,688631,南京,中国电科28所旗下民航空管系统龙头、低空空管与低空飞行服务保障系统(发布"天牧M20"省市低空飞行管理服务系统),https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=688631&id=12193202,2026-04
