赛道,公司,类型,股票代码或轮次,总部,与赛道的关联(一句话,具体到什么产品/环节),来源URL,来源日期
新型电池,宁德时代(CATL),A股+港股,300750.SZ/3750.HK,福建宁德,电芯/电池整机全球龙头:2025年动力电池全球市占率39.2%(连续九年第一)、储能电池市占率30.4%(连续五年第一);已发布钠新电池与凝聚态电池,https://www.catl.com/news/9654.html,2026-03
新型电池,国轩高科,A股,002074.SZ,安徽合肥,固态电池:金石全固态电池首条中试线贯通(良品率90%)、已启动2GWh量产线设计;G垣准固态电池能量密度300Wh/kg,https://finance.ifeng.com/c/8mLCRsMCWPS,2025-09
新型电池,赣锋锂业,A股+港股,002460.SZ/1772.HK,江西新余,固态电池+锂资源:半固态电池在东风E70试装车并于赛力斯SF5量产;覆盖氧化物/硫化物/聚合物电解质路线,http://finance.sina.com.cn/stock/t/2025-07-03/doc-infeevpe4709670.shtml,2025-07
新型电池,卫蓝新能源,独角兽,D+轮(2025-09完成;2025-12创业板IPO辅导备案),北京,半固态/固态电芯:360Wh/kg半固态电芯交付蔚来ET7(续航超1000公里);314Ah半固态储能电芯量产并供货海博思创等,https://view.inews.qq.com/a/20251212A05VFY00,2025-12
新型电池,清陶能源,独角兽,已递表港交所(2026-04招股,上市前),江苏昆山,固态/固液混合电池:电池包累计交付超1.68万套搭载智己、名爵等30余款车型;全球最大固液混合电池储能电站(内蒙古乌海)唯一电池供应商,https://www.caixin.com/2026-04-09/102432267.html,2026-04
新型电池,中科海钠,独角兽,B轮(2023-04诚通混改基金领投;2024年完成B+轮),北京,钠离子电池:中科院物理所孵化、国内首家钠电专营企业;建成全球首条GWh级钠电芯产线,四款钠电产品2025年进入量产销售,https://www.hinabattery.com/index.php?id=256,2025-11
新型电池,容百科技,A股,688005.SH,浙江宁波,正极材料:三元正极材料全球销量领先;磷酸锰铁锂规模化量产、钠电正极材料领先布局,https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=688005&id=12080315,2026-04
新型电池,贝特瑞,A股(北交所),920185.BJ(原835185),广东深圳,负极材料:负极出货量全球第一;硅基负极(硅碳/硅氧)行业领先并发布固态电池材料,牵头硅基负极首项国际标准,http://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=920185&id=12200220,2026-04
新型电池,天赐材料,A股,002709.SZ,广东广州,电解液/电解质:电解液产能约85万吨全球第一,六氟磷酸锂(约11万吨)与LiFSI满产;硫化物固态电解质处于中试阶段,https://www.itdcw.com/news/qiye/1121151c92025.html,2025-11
新型电池,恩捷股份,A股,002812.SZ,云南玉溪,隔膜:湿法隔膜产能130亿平方米、全球市占率约35%居首位;已建成硫化物固态电解质吨级产线,https://chuneng.ofweek.com/news/2026-05/ART-180225-12000-30688602.html,2026-05
新型电池,阳光电源,A股,300274.SZ,安徽合肥,储能系统集成:2025年储能系统全球发货43GWh,储能业务收入372.87亿元首超光伏逆变器;PowerTitan系列全球标杆产品,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=300274&id=12052227,2026-04
新型电池,海博思创,A股,688411.SH,北京,储能系统集成:国内首家储能系统集成主业上市公司(2025-01科创板),国内储能累计装机量第一;宁德时代储能钠电首个战略合作伙伴,https://www.jiemian.com/article/12298715.html,2025-01
